Date,Open,High,Low,Close,Volume,Adj Close
2015-04-27,73.00,73.30,72.60,72.75,13253000,72.75
2015-04-24,71.70,72.85,71.70,72.20,26487000,72.20
2015-04-23,70.20,71.50,70.15,71.50,24299000,71.50
2015-04-22,69.30,69.80,69.25,69.65,11302000,69.65
2015-04-21,69.05,69.30,68.85,68.95,2857000,68.95
2015-04-20,68.70,69.15,68.55,68.95,9560000,68.95
2015-04-17,69.55,69.55,68.90,69.05,9226000,69.05
2015-04-16,68.95,69.70,68.90,69.70,15728000,69.70
2015-04-15,69.25,69.50,68.40,68.65,17241000,68.65
2015-04-14,69.85,69.85,69.50,69.50,4557000,69.50
2015-04-10,69.70,69.80,69.45,69.65,4579000,69.65
2015-04-09,69.00,69.85,68.95,69.10,6188000,69.10
2015-04-08,69.60,69.60,68.85,69.00,5051000,69.00
2015-04-07,69.55,69.70,69.35,69.60,3417000,69.60
2015-04-02,68.90,69.75,68.90,69.50,7782000,69.50
2015-04-01,68.70,68.85,68.50,68.65,8217000,68.65
2015-03-31,69.00,69.25,68.80,69.05,7634000,69.05
2015-03-30,68.75,68.90,68.55,68.80,10336000,68.80
2015-03-27,69.40,69.40,68.65,68.75,9983000,68.75
2015-03-26,69.40,69.70,69.15,69.40,9497000,69.40
2015-03-25,70.50,70.60,70.10,70.25,4431000,70.25
2015-03-24,70.55,70.85,70.35,70.50,4495000,70.50
2015-03-23,70.55,70.90,70.45,70.75,7591000,70.75
2015-03-20,70.65,70.65,70.40,70.55,4477000,70.55
2015-03-19,70.50,70.90,70.25,70.65,12474000,70.65
2015-03-18,69.20,70.15,69.20,69.90,18607000,69.90
2015-03-17,69.20,69.75,69.00,69.15,7081000,69.15
2015-03-16,69.35,69.35,68.85,68.90,6039000,68.90
2015-03-13,69.65,69.75,69.45,69.45,4501000,69.45
2015-03-12,68.85,69.65,68.80,69.65,5704000,69.65
2015-03-11,68.35,69.15,68.30,69.05,10018000,69.05
2015-03-10,69.00,69.05,68.60,68.95,6941000,68.95
2015-03-09,69.45,69.50,68.90,69.10,7448000,69.10
2015-03-06,69.55,69.90,69.30,69.80,3047000,69.80
2015-03-05,69.95,70.00,69.35,69.70,3750000,69.70
2015-03-04,69.55,70.05,69.50,69.95,6405000,69.95
2015-03-03,70.05,70.10,69.50,69.90,5053000,69.90
2015-03-02,70.30,70.55,69.75,70.00,6567000,70.00
2015-02-26,70.55,70.65,70.05,70.30,8627000,70.30
2015-02-25,70.70,70.90,70.55,70.80,23218000,70.80
2015-02-24,69.95,70.45,69.95,70.25,14508000,70.25
2015-02-16,69.45,69.45,69.45,69.45,000,69.45
2015-02-13,69.35,69.65,69.35,69.45,7581000,69.45
2015-02-12,69.00,69.20,68.80,69.00,9303000,69.00
2015-02-11,68.70,69.25,68.70,69.00,7180000,69.00
2015-02-10,68.45,68.50,68.20,68.25,8015000,68.25
2015-02-09,68.75,68.75,68.25,68.50,3494000,68.50
2015-02-06,69.10,69.20,68.65,68.75,4098000,68.75
2015-02-05,69.05,69.25,68.80,69.10,4768000,69.10
2015-02-04,69.20,69.50,69.05,69.40,20331000,69.40
2015-02-03,68.35,68.85,68.10,68.65,16638000,68.65
2015-02-02,68.20,68.35,67.90,68.15,5796000,68.15
2015-01-30,68.60,68.60,68.00,68.00,4243000,68.00
2015-01-29,69.05,69.05,68.15,68.30,19757000,68.30
2015-01-28,68.80,69.20,68.80,69.15,35968000,69.15
2015-01-27,69.00,69.25,68.80,69.15,36183000,69.15
2015-01-26,68.55,68.85,68.45,68.70,20438000,68.70
